刘佳(00:08:08): 各位领导和同事能听到我说话吗？我看那个人都齐了，我们就开始吧！
陈俊(02:24:17): 我们先不谈一卖，现在拿到互联网医院牌照这个前提，那我们现在定位我们是一家平台公司，我们做的是撮合的事情，我撮合就是把有资质的跟有资质的撮合在一起。有开单跟到有接单的这种需求的有检查跟被检查的不跟提供检查这个有供需关系，这个撮合在一起。基于这样的一个前提条件，由平台公司收钱，再向不同的组里去分钱。涂律师，他现在是这个意思。

涂丰涛(02:24:59): 俊龙。

陈俊(02:25:04): 但好像我，我感觉下来这就有点别扭在哪里？有点别扭在。我们不能够收掉这个钱，因为因为整个订单撮合过程当中，它涉及到有一部分是医疗动作。

一米阳光(02:25:27): 你就只能确认代收？是代手过了你的账而已。

涂丰涛(02:25:33): 是代收代付？

陈俊(02:25:35): 那可以，那比如第二个问题，就是我们拿到互联网资质牌照之后，要不要就是直接用互联网这个主体来收费？你从合规角度来看，怎么怎么看？

涂丰涛(02:25:56): 如果是拿到互联网医院牌照，那相当于我们就要用这个互联网医院再去跟这些交付中心去签购买服务了，相当于患者，他是在我们这个互联网医院去就诊，逻辑上。就诊之后，他有这个检查需求嘛，然后再相当于我们去向第三方购买这个检查的服务，最终交付给了这个患者。

陈俊(02:26:19): 那行了清楚了，那就这样等互联网牌照拿到之后，我们就统一用互联网这个主体来收款，然后去分账，现在短期之内我们就把自己定位成供需撮合平台，然后完了之后我们先代收。这个逻辑先把现阶段的事情走完。可以，那刘佳你这里还有什么问题？

刘佳(02:26:47): 那这里就是还是在互联网医院问诊前收费，因为那个是代收是这意思？

陈俊(02:26:55): 所有的收钱肯定都是先收到钱，你不要先提供服务，先收钱再提供服务。

刘佳(02:27:01): 好，那我知道了。

胡高鹏(02:27:05): 在这个页面就是患者用微信一扫这个码，然后跳到这里的话不是先进面有先进到这个页面的有个付款，就是有个支付的页面，把钱先付了，然后再后面再问诊这些内容。

陈俊(02:27:23): 我也是这样。你这里可能还有个匹配关系，就是他去哪个地方做检查，他得选到。

胡高鹏(02:27:34): 我觉得这样好奇怪，就是就突然就是医生这边跟他沟通，就是诊所医生跟他沟通这个事情沟通了医生偷偷摸摸的，然后在这里选择这些东西，本来这些东西就是弱化的，不要太明显，然后患者直接扫这个码好直接跳到支付页面，然后直接要支付钱，然后感觉从岗位上我就感觉一患者就觉得你你是给我直接要买买东西吗？我是觉得这样，但是如果后置的话先问人，再这样子就感觉是这个互联网医生在给我做这件事情，我是他给我开单的，我再付钱，如果我一扫这个码，对这个是我的顾虑。

陈俊(02:28:09): 高鹏这里面有一个偏差的地方在哪里？患者根本就不知道医生给他录了一些什么东西？他没有给患者展示二维码！你理解我这个意思！

胡高鹏(02:28:38): 这个二维码待定不一定展示吧，是这个意思吗？我没听明白这块。

陈俊(02:28:42): 不是他是这样，医生医等我袁博补充一下哈，我理解是这样的，但是怎么去通过技术实现，我不大清楚。我理解的是医生他自己在自己手机上或者在电脑上，他已经录入这个患者的姓名。电话，身份证以及他所需要做的检查项目，还有他的病情的描述，他全部录好了，然后好这个时候就该开始推动患者，他要去自己下单，这个事情他就跟他讲。你这样的你你你要不关注一下他这个桌上这个二维码，你你自己在上面去问他们那个这个平台，然后自己去选择到哪去做这个现在都很方便。该这个时候患者就一扫第一步是登记名字电话，身份证，他马上就绑到了这个医生在后台的那个所有的信息了，然后自动。就付钱了。就到付钱这个页面了，然后再问诊。你你我又没讲清楚胡高鹏。

胡高鹏(02:29:51): 我听明白了，我听明白，我懂意思了，我理解了。

陈俊(02:29:54): 对。两条线。

胡高鹏(02:30:01): 还有个就是互联网医生的话，他注册的话是注册这个我今天跟刘佳老师讨论说我没讨论出来，就是互联网医生，他注册的时候是直接。在后台录信息吗？还是给他一个页面让别人代代录入还是怎么样子的？

陈俊(02:30:22): 他得自己登录自己去录！

胡高鹏(02:30:25): 就相当于这样子，就是在这个页面，然后填这上面的一些一些内容信息，然后提交审核录入是这样子。

陈俊(02:30:35): 对的，那其实还有一种场景，比方说，如果我是个护士，我推荐别人上平台做检查怎么办？他没有医疗资质。我是个护士。

刘佳(02:30:54): 我理解这是两条线吧，首先开单医生，护士也是开单也属于开单医生吧，开单医生是不需要就是职业资质认证的，他只是需要手机号注册一下。

陈俊(02:31:06): 那你怎么做报告解读？

刘佳(02:31:06): 然后他就。

陈俊(02:31:11): 那说明你是平？

刘佳(02:31:12): 那你要做报告解读就得有医疗职业认证。

胡高鹏(02:31:33): 那要不先解决，就是互联网医医生注册的就按这种方式来注册？

陈俊(02:31:37): 我告诉你，这里面如果是个护士。哪怕是个老师，他不可以推荐别人做个检查吗？或者卫健委的一个领导打个比方，我举个例子哈，当这种情况很少有哈，就但是护士这种特点会比较多，护士。你你反正这个命题先放在这里了，你思考一下护士，她也有护士的相关资格证哈，我想说的是我们平台再怎么样，你要给医务工作者。

陈俊(02:32:16): 这个都能够有开检查建议的这种路径，而不是一个农民，他都可以上面来注册一个检查建议的不行，还是要有一些。审核的这样的一个环节。比方他的工作证，他的多点职业的不，他的那个职业地址的这个证明等等，类似这样的东西，我们还是要得审一审看一看。

胡高鹏(02:32:46): 他这个提交只是作为一个前端的一个提交，后端就是后台里面肯定有专人，然后去审核这件事情，他才会上架成功。

陈俊(02:32:54): 对我理解也是这样。那这个环节我就没太大意见。

胡高鹏(02:33:04): 但是这个名称到时候再定吧，这个具体的字段到时候再定，反正这个环节的话肯定是有医生，然后给他页面，然后他注册这个我主要是确认这个东西字段的话不在后面，再说了对。

陈俊(02:33:17): 参考一下什么其他的平台，他的比方说。

胡高鹏(02:33:20): OK OK 对这段的话我到时候去找一下参考对 OK 行。

陈俊(02:33:24): 对。

胡高鹏(02:33:29): 那其他的没有了其他的我们暂时没有疑问了，对到时候我去问一下那个景雪老师。

陈俊(02:33:36): 那行了。还有什么需要补充的吗？没有的话。那我们今天就晚上就聊到这了。那就这样结束这个后面后期就刘佳跟高鹏你你们来推进一下哈，这袁博你把一关哈，就我们抓紧时间把这个就上线。然后这边因为运运营得同步，最好是这样的，弄完之后谁高鹏你弄一个使用说明出来就是运营，作为运营，无论是我们自己的同事，还是未来我们发展的那个城市运营商，他们要说好333句话，第一个叫我是谁？

陈俊(02:34:22): 第二句就是怎么用，就平台怎么用，第三个就是他们怎么怎么保证自己利益合规的拿到自己的利益运营来讲，他就需要这三个。三个信息，然后标准化输出。那你这个得梳理一下哈！梳理一下。

胡高鹏(02:34:41): 的话我就会像上次做医生开单那手手册一样，会按照角色的维度，然后把这个手册。

陈俊(02:34:49): 不只要注意一下医生没有开单，就是我们所有的运营的话术是什么，就是你就是我们为了方便他管理他更好的，不更让他管理好他的患者。他给我们平台是做了一些引流，但是我们平台也给他推了流过去，让他就是用自己的闲暇时间。他的知识体系，我们给他一定相应的劳动报酬就相当于就相互赋能，你知道吧，就他也赋能了我们平台，让我们在促进也方便了百姓。第二个就是我们平台也委托他去做了一些他这个闲暇时间以外的一些非医疗性的一些知识付费。明白吧，是彼此赋能共同促进，但是两者又不挂钩，这个话术不能签，就是以后这一个所有的运营都得过关，就什么，就是不是让临床医生给我们开单，我们给他开单费，不是你哪怕是你都不能在做标准化输出时候不是这个话术你知道吧，要不然的话会搞死人的嘞。

胡高鹏(02:36:01): 我建议这样后面我整了这个手册以后我会先发给涂律师，然后审一下，因为标准化的概念要还是要法规审一下，然后这样我觉得更严苛一点。

陈俊(02:36:14): 那行，那就这样结束了，各位拜拜！

胡高鹏(02:36:15): OK 行。好拜拜！

刘佳(02:36:23): 拜拜。

一米阳光(02:36:24): 拜拜。

涂丰涛(02:36:24): 拜拜。
